Location,Lon,Lat
1,74.37631169,22.70621072
2,80.16153112,22.7575169
3,77.82519251,18.33134162
4,77.38017563,13.03142231
5,77.71393829,10.25310125
6,73.76441348,18.06711974
7,84.66732703,21.46917215
8,82.38661552,26.84647217
9,72.54061707,26.64777194
10,77.10204008,29.92897553
11,76.99078586,26.19943268
12,87.11491986,24.64202209
13,93.28952907,26.19943268
14,95.06959658,28.03130091
